[2013-03-16 09:26:46] START
[2013-03-16 09:26:46] EDIT welcome/controllers/default.py: 2
[2014-03-27 19:36:10] EDIT Exemplo/views/default/index.html: -27
[2014-03-27 19:37:01] EDIT Exemplo/views/default/index.html: -1
[2014-03-27 19:37:51] EDIT Exemplo/views/default/index.html: -2
[2014-03-27 19:38:08] EDIT Exemplo/views/default/index.html: 0
[2014-03-27 23:37:40] EDIT Exemplo/views/default/index.html: -2
[2014-03-27 23:38:50] EDIT Exemplo/controllers/default.py: -7
[2014-03-27 23:43:39] EDIT Exemplo/controllers/default.py: 0
[2014-03-27 23:45:14] EDIT Exemplo/views/default/index.html: 7
[2014-03-28 10:55:14] EDIT Exemplo/views/default/index.html: 3
[2014-03-28 10:58:35] EDIT Exemplo/views/default/index.html: 0
[2014-03-28 11:03:03] EDIT Exemplo/views/default/index.html: 0
[2014-03-28 11:04:55] EDIT Exemplo/controllers/default.py: 4
[2014-03-28 11:05:12] EDIT Exemplo/controllers/default.py: 0
[2014-03-28 11:05:36] EDIT Exemplo/controllers/default.py: 0
[2014-03-28 11:06:50] EDIT Exemplo/views/default/index.html: 3
[2014-03-28 11:14:57] CREATE default/firstpage.html: 0
[2014-03-28 11:19:54] EDIT Exemplo/views/default/firstpage.html: 4
[2014-03-28 11:21:15] EDIT Exemplo/controllers/default.py: 4
[2014-03-28 11:21:35] EDIT Exemplo/controllers/default.py: 0
[2014-03-28 11:23:22] EDIT Exemplo/views/default/firstpage.html: 0
[2014-03-28 11:23:40] CREATE default/secondpage.html: 0
[2014-03-28 11:25:16] EDIT Exemplo/views/default/secondpage.html: 6
[2014-03-28 11:26:57] EDIT Exemplo/views/default/secondpage.html: 0
[2014-03-28 11:28:06] EDIT Exemplo/views/layout.html: 0
[2014-03-28 11:37:37] EDIT Exemplo/controllers/default.py: 3
[2014-03-28 11:38:46] EDIT Exemplo/views/default/firstpage.html: 0
[2014-03-28 11:39:05] EDIT Exemplo/views/default/secondpage.html: 0
[2014-03-28 11:40:02] EDIT Exemplo/controllers/default.py: 0
[2014-03-28 11:43:19] EDIT Exemplo/views/default/secondpage.html: 0
[2014-03-28 11:44:18] EDIT Exemplo/views/default/secondpage.html: 0
[2014-03-28 11:46:29] EDIT Exemplo/views/default/secondpage.html: 0
[2014-03-28 11:50:38] EDIT Exemplo/controllers/default.py: 2
[2014-03-28 11:51:12] EDIT Exemplo/controllers/default.py: 0
[2014-03-28 11:52:14] EDIT Exemplo/controllers/default.py: 0
[2014-03-28 11:57:12] EDIT Exemplo/controllers/default.py: 5
[2014-03-28 11:57:53] EDIT Exemplo/views/default/firstpage.html: -3
[2014-03-28 11:58:42] EDIT Exemplo/controllers/default.py: 0
[2014-03-28 11:58:44] EDIT Exemplo/controllers/default.py: 0
[2014-03-28 11:58:45] EDIT Exemplo/controllers/default.py: 0
[2014-03-28 12:02:14] EDIT Exemplo/views/default/firstpage.html: -1
[2014-03-28 12:02:46] EDIT Exemplo/views/default/firstpage.html: -1
[2014-03-28 13:33:16] EDIT Exemplo/controllers/default.py: -4
[2014-03-28 13:41:59] EDIT Exemplo/controllers/default.py: 1
