127.0.0.1, 2014-03-27 19:17:26, GET, /, HTTP/1.1, 303, 0.005000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.796000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:27, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-03-27 19:17:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:28, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:28, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:28, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:17:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-03-27 19:27:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/default/index, HTTP/1.1, 200, 0.115000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-03-27 19:27:56, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:27:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-03-27 19:28:00, POST, /admin/default/index, HTTP/1.1, 303, 0.042000
127.0.0.1, 2014-03-27 19:28:00, GET, /admin/default/site, HTTP/1.1, 200, 0.054000
127.0.0.1, 2014-03-27 19:28:00, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.030000
127.0.0.1, 2014-03-27 19:28:00, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-03-27 19:28:00, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:28:01, POST, /admin/default/check_version, HTTP/1.1, 200, 1.226000
127.0.0.1, 2014-03-27 19:28:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-03-27 19:28:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-03-27 19:28:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-03-27 19:29:50, POST, /admin/default/site, HTTP/1.1, 303, 0.269000
127.0.0.1, 2014-03-27 19:29:50, GET, /admin/default/design/Exemplo, HTTP/1.1, 200, 0.176000
127.0.0.1, 2014-03-27 19:29:50, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:29:50, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:29:50, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:29:50, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-03-27 19:29:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-03-27 19:31:12, GET, /Exemplo, HTTP/1.1, 200, 0.848000
127.0.0.1, 2014-03-27 19:31:12, GET, /Exemplo/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:12, GET, /Exemplo/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:12, GET, /Exemplo/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:12, GET, /Exemplo/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:12, GET, /Exemplo/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-03-27 19:31:13, GET, /Exemplo/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
